"","comorbid_condition","concept_id","concept_code","concept_name","vocabulary"
"541","Malignancy, except skin neoplasms",437233,"109989006","Multiple myeloma","SNOMED CT"
"542","Cerebrovascular disease",437306,"230736007","Transient global amnesia","SNOMED CT"
"543","Peptic ulcer disease",437323,"34021006","Chronic duodenal ulcer with hemorrhage AND obstruction","SNOMED CT"
"544","Peptic ulcer disease",437326,"46523000","Chronic gastrojejunal ulcer with hemorrhage and with perforation but without obstruction","SNOMED CT"
"545","Malignancy, except skin neoplasms",437498,"94101009","Primary malignant neoplasm of tongue","SNOMED CT"
"546","Malignancy, except skin neoplasms",437501,"93850006","Primary malignant neoplasm of labia majora","SNOMED CT"
"547","Malignancy, except skin neoplasms",437505,"188612002","Nodular lymphoma of lymph nodes of axilla and upper limb","SNOMED CT"
"548","Chronic pulmonary disease",437588,"67242002","Bagassosis","SNOMED CT"
"549","Peptic ulcer disease",437598,"72395008","Acute gastrojejunal ulcer with perforation but without obstruction","SNOMED CT"
"550","Malignancy, except skin neoplasms",437798,"94072004","Primary malignant neoplasm of splenic flexure of colon","SNOMED CT"
"551","Malignancy, except skin neoplasms",437805,"371999007","Primary malignant neoplasm of middle third of esophagus","SNOMED CT"
"552","Malignancy, except skin neoplasms",438080,"93674007","Primary malignant neoplasm of anterior wall of nasopharynx","SNOMED CT"
"553","Malignancy, except skin neoplasms",438086,"93946000","Primary malignant neoplasm of parietal lobe","SNOMED CT"
"554","Malignancy, except skin neoplasms",438089,"93976007","Primary malignant neoplasm of pyloric antrum","SNOMED CT"
"555","Malignancy, except skin neoplasms",438090,"109839004","Overlapping malignant neoplasm of rectum, anus and anal canal","SNOMED CT"
"556","Malignancy, except skin neoplasms",438094,"94057003","Primary malignant neoplasm of soft tissues of lower limb","SNOMED CT"
"557","Malignancy, except skin neoplasms",438095,"109948008","Overlapping malignant neoplasm of eye and adnexa (primary)","SNOMED CT"
"558","Malignancy, except skin neoplasms",438106,"188489006","Reticulosarcoma of lymph nodes of head, face and neck","SNOMED CT"
"559","Myocardial infarction",438170,"73795002","Acute myocardial infarction of inferior wall","SNOMED CT"
"560","Chronic pulmonary disease",438175,"86638007","Maple-bark strippers' lung","SNOMED CT"
"561","Peptic ulcer disease",438188,"47152002","Gastrojejunal ulcer without hemorrhage AND without perforation but with obstruction","SNOMED CT"
"562","Malignancy, except skin neoplasms",438360,"94132005","Primary malignant neoplasm of vallecula","SNOMED CT"
"563","Malignancy, except skin neoplasms",438367,"93917007","Primary malignant neoplasm of nasal cavity","SNOMED CT"
"564","Malignancy, except skin neoplasms",438368,"94096009","Primary malignant neoplasm of thymus","SNOMED CT"
"565","Malignancy, except skin neoplasms",438370,"371989002","Primary malignant neoplasm of glans penis","SNOMED CT"
"566","Malignancy, except skin neoplasms",438380,"188500005","Lymphosarcoma of lymph nodes of head, face and neck","SNOMED CT"
"567","Myocardial infarction",438438,"70211005","Acute myocardial infarction of anterolateral wall","SNOMED CT"
"568","Myocardial infarction",438447,"65547006","Acute myocardial infarction of inferolateral wall","SNOMED CT"
"569","Peptic ulcer disease",438468,"59515005","Acute gastrojejunal ulcer with hemorrhage but without obstruction","SNOMED CT"
"570","Peptic ulcer disease",438469,"34580000","Duodenal ulcer without hemorrhage, without perforation AND without obstruction","SNOMED CT"
"571","Malignancy, except skin neoplasms",438691,"109832008","Overlapping malignant neoplasm of oropharynx","SNOMED CT"
"572","Malignancy, except skin neoplasms",438692,"93861003","Primary malignant neoplasm of lateral wall of nasopharynx","SNOMED CT"
"573","Malignancy, except skin neoplasms",438693,"93891008","Primary malignant neoplasm of mediastinum","SNOMED CT"
"574","Malignancy, except skin neoplasms",438694,"371991005","Primary malignant neoplasm of hard palate","SNOMED CT"
"575","Malignancy, except skin neoplasms",438699,"93980002","Primary malignant neoplasm of rectosigmoid junction","SNOMED CT"
"576","Malignancy, except skin neoplasms",438709,"188524002","Hodgkin's paragranuloma of intrathoracic lymph nodes","SNOMED CT"
"577","Peptic ulcer disease",438795,"41626001","Chronic gastrojejunal ulcer without hemorrhage, without perforation AND without obstruction","SNOMED CT"
"578","Peptic ulcer disease",438796,"81142005","Chronic duodenal ulcer with hemorrhage AND with perforation but without obstruction","SNOMED CT"
"579","Malignancy, except skin neoplasms",438977,"372107001","Primary malignant neoplasm of ribs and/or sternum and/or clavicle","SNOMED CT"
"580","Malignancy, except skin neoplasms",438979,"93826009","Primary malignant neoplasm of hepatic flexure of colon","SNOMED CT"
"581","Malignancy, except skin neoplasms",438982,"93672006","Primary malignant neoplasm of anterior portion of floor of mouth","SNOMED CT"
"582","Malignancy, except skin neoplasms",438983,"93653006","Malignant melanoma of skin of upper limb","SNOMED CT"
"583","Cerebrovascular disease",439040,"35486000","Subdural hemorrhage","SNOMED CT"
"584","Peptic ulcer disease",439058,"60551006","Chronic duodenal ulcer with perforation AND obstruction","SNOMED CT"
"585","Malignancy, except skin neoplasms",439265,"188631008","Sézary's disease of intrathoracic lymph nodes","SNOMED CT"
"586","Malignancy, except skin neoplasms",439266,"188634000","Sézary's disease of lymph nodes of inguinal region and lower limb","SNOMED CT"
"587","Malignancy, except skin neoplasms",439267,"188632001","Sézary's disease of intra-abdominal lymph nodes","SNOMED CT"
"588","Malignancy, except skin neoplasms",439268,"188649008","Leukemic reticuloendotheliosis of lymph nodes of inguinal region and lower limb","SNOMED CT"
"589","Malignancy, except skin neoplasms",439269,"188648000","Leukemic reticuloendotheliosis of lymph nodes of axilla and upper limb","SNOMED CT"
"590","Malignancy, except skin neoplasms",439270,"188635004","Sézary's disease of intrapelvic lymph nodes","SNOMED CT"
"591","Malignancy, except skin neoplasms",439281,"188592008","Hodgkin's disease, lymphocytic depletion of spleen","SNOMED CT"
"592","Malignancy, except skin neoplasms",439282,"188591001","Hodgkin's disease, lymphocytic depletion of intrapelvic lymph nodes","SNOMED CT"
"593","Malignancy, except skin neoplasms",439285,"188587006","Hodgkin's disease, lymphocytic depletion of intra-abdominal lymph nodes","SNOMED CT"
"594","Malignancy, except skin neoplasms",439291,"188536008","Hodgkin's granuloma of intra-abdominal lymph nodes","SNOMED CT"
"595","Malignancy, except skin neoplasms",439293,"188516007","Burkitt's lymphoma of spleen","SNOMED CT"
"596","Malignancy, except skin neoplasms",439392,"372087000","Primary malignant neoplasm","SNOMED CT"
"597","Metastatic solid tumor",439392,"372087000","Primary malignant neoplasm","SNOMED CT"
"598","Malignancy, except skin neoplasms",439404,"372001002","Primary malignant neoplasm of oral cavity","SNOMED CT"
"599","Mild liver disease",439674,"186639003","Chronic viral hepatitis B without delta-agent","SNOMED CT"
"600","Mild liver disease",439675,"186624004","Hepatic coma due to acute hepatitis B with delta agent","SNOMED CT"
"601","Myocardial infarction",439693,"194802003","True posterior myocardial infarction","SNOMED CT"
"602","Congestive heart failure",439694,"194781004","Hypertensive heart and renal disease with both (congestive) heart failure and renal failure","SNOMED CT"
"603","Renal disease",439694,"194781004","Hypertensive heart and renal disease with both (congestive) heart failure and renal failure","SNOMED CT"
"604","Renal disease",439695,"194780003","Hypertensive heart and renal disease with renal failure","SNOMED CT"
"605","Congestive heart failure",439696,"194779001","Hypertensive heart and renal disease with (congestive) heart failure","SNOMED CT"
"606","Congestive heart failure",439698,"194767001","Benign hypertensive heart disease with congestive cardiac failure","SNOMED CT"
"607","AIDS/HIV",439727,"86406008","Human immunodeficiency virus infection","SNOMED CT"
"608","Malignancy, except skin neoplasms",439738,"94076001","Primary malignant neoplasm of sublingual gland","SNOMED CT"
"609","Malignancy, except skin neoplasms",439739,"93971002","Primary malignant neoplasm of posterior wall of oropharynx","SNOMED CT"
"610","Malignancy, except skin neoplasms",439746,"93831006","Primary malignant neoplasm of hypopharynx","SNOMED CT"
"611","Congestive heart failure",439846,"85232009","Left heart failure","SNOMED CT"
"612","Cerebrovascular disease",439847,"1386000","Intracranial hemorrhage","SNOMED CT"
"613","Chronic pulmonary disease",439853,"69339004","Bird-fanciers' lung","SNOMED CT"
"614","Peptic ulcer disease",439858,"35517004","Gastrojejunal ulcer without hemorrhage, without perforation AND without obstruction","SNOMED CT"
"615","Malignancy, except skin neoplasms",440036,"93848003","Primary malignant neoplasm of junctional zone of tongue","SNOMED CT"
"616","Malignancy, except skin neoplasms",440044,"109368005","Overlapping malignant neoplasm of hypopharynx","SNOMED CT"
"617","Malignancy, except skin neoplasms",440047,"94103007","Primary malignant neoplasm of tonsillar pillar","SNOMED CT"
"618","Malignancy, except skin neoplasms",440058,"93199007","Malignant lymphoma of extranodal AND/OR solid organ site","SNOMED CT"
"619","Malignancy, except skin neoplasms",440335,"371997009","Primary malignant neoplasm of lower gum","SNOMED CT"
"620","Malignancy, except skin neoplasms",440339,"372006007","Primary malignant neoplasm of prepuce","SNOMED CT"
"621","Malignancy, except skin neoplasms",440344,"93860002","Primary malignant neoplasm of lateral portion of floor of mouth","SNOMED CT"
"622","Malignancy, except skin neoplasms",440345,"93862005","Primary malignant neoplasm of lateral wall of oropharynx","SNOMED CT"
"623","Malignancy, except skin neoplasms",440351,"93495008","Hodgkin's disease, lymphocytic-histiocytic predominance of intrathoracic lymph nodes","SNOMED CT"
"624","Malignancy, except skin neoplasms",440354,"93531004","Hodgkin's granuloma of intrathoracic lymph nodes","SNOMED CT"
"625","Hemiplegia or paraplegia",440377,"44695005","Paralysis","SNOMED CT"
"626","Malignancy, except skin neoplasms",440649,"372119009","Primary malignant neoplasm of head of pancreas","SNOMED CT"
"627","Malignancy, except skin neoplasms",440655,"187637005","Malignant neoplasm of tongue, tip and lateral border","SNOMED CT"
"628","Peptic ulcer disease",440755,"23693000","Acute duodenal ulcer without hemorrhage, without perforation AND without obstruction","SNOMED CT"
"629","Peptic ulcer disease",440756,"86258000","Chronic duodenal ulcer with hemorrhage, with perforation AND with obstruction","SNOMED CT"
"630","Malignancy, except skin neoplasms",440957,"188487008","Lymphosarcoma and reticulosarcoma","SNOMED CT"
"631","Malignancy, except skin neoplasms",440965,"93522004","Hodgkin's disease of intrathoracic lymph nodes","SNOMED CT"
"632","Peripheral vascular disease",441051,"74883004","Thoracic aortic aneurysm without rupture","SNOMED CT"
"633","Peptic ulcer disease",441062,"87756006","Acute duodenal ulcer with hemorrhage AND obstruction","SNOMED CT"
"634","Peptic ulcer disease",441063,"72408002","Acute gastrojejunal ulcer with hemorrhage and obstruction","SNOMED CT"
"635","Malignancy, except skin neoplasms",441223,"94078000","Primary malignant neoplasm of superior wall of nasopharynx","SNOMED CT"
"636","Malignancy, except skin neoplasms",441224,"371978009","Primary malignant neoplasm of cervical esophagus","SNOMED CT"
"637","Malignancy, except skin neoplasms",441225,"371967001","Primary malignant neoplasm of ampulla of Vater","SNOMED CT"
"638","Malignancy, except skin neoplasms",441230,"94140004","Primary malignant neoplasm of visceral pleura","SNOMED CT"
"639","Malignancy, except skin neoplasms",441233,"93807001","Primary malignant neoplasm of frontal lobe","SNOMED CT"
"640","Malignancy, except skin neoplasms",441241,"188492005","Reticulosarcoma of lymph nodes of axilla and upper limb","SNOMED CT"
"641","Peptic ulcer disease",441328,"66673003","Acute gastrojejunal ulcer with hemorrhage and with perforation but without obstruction","SNOMED CT"
"642","Malignancy, except skin neoplasms",441510,"93948004","Primary malignant neoplasm of parietal pleura","SNOMED CT"
"643","Malignancy, except skin neoplasms",441513,"372092003","Primary malignant neoplasm of axillary tail of breast","SNOMED CT"
"644","Malignancy, except skin neoplasms",441520,"93994001","Primary malignant neoplasm of round ligament of uterus","SNOMED CT"
"645","Malignancy, except skin neoplasms",441523,"275524009","Immunoproliferative neoplasm","SNOMED CT"
"646","Myocardial infarction",441579,"76593002","Acute myocardial infarction of inferoposterior wall","SNOMED CT"
"647","Malignancy, except skin neoplasms",441800,"93771007","Primary malignant neoplasm of descending colon","SNOMED CT"
"648","Malignancy, except skin neoplasms",441802,"93851005","Primary malignant neoplasm of labia minora","SNOMED CT"
"649","Malignancy, except skin neoplasms",441803,"188503007","Lymphosarcoma of lymph nodes of axilla and upper limb","SNOMED CT"
"650","Malignancy, except skin neoplasms",441805,"93779009","Primary malignant neoplasm of endocervix","SNOMED CT"
"651","Malignancy, except skin neoplasms",441806,"93726004","Primary malignant neoplasm of brain stem","SNOMED CT"
"652","Malignancy, except skin neoplasms",441809,"93932000","Primary malignant neoplasm of orbit","SNOMED CT"
"653","Malignancy, except skin neoplasms",441812,"93184007","Malignant histiocytosis of intrathoracic lymph nodes","SNOMED CT"
"654","Cerebrovascular disease",441874,"71444005","Cerebral thrombosis","SNOMED CT"
"655","Peripheral vascular disease",441875,"195258006","Thoracic aortic aneurysm which has ruptured","SNOMED CT"
"656","Malignancy, except skin neoplasms",442095,"93146001","Leukemic reticuloendotheliosis of intrathoracic lymph nodes","SNOMED CT"
"657","Malignancy, except skin neoplasms",442122,"93941005","Primary malignant neoplasm of paraganglion","SNOMED CT"
"658","Chronic pulmonary disease",442125,"805002","Pneumoconiosis caused by silica","SNOMED CT"
"659","Malignancy, except skin neoplasms",442128,"95231000","Reticulosarcoma of spleen","SNOMED CT"
"660","Malignancy, except skin neoplasms",442131,"93824007","Primary malignant neoplasm of head","SNOMED CT"
"661","Malignancy, except skin neoplasms",442134,"93768004","Primary malignant neoplasm of craniopharyngeal duct","SNOMED CT"
"662","Malignancy, except skin neoplasms",442156,"93530003","Hodgkin's granuloma of intrapelvic lymph nodes","SNOMED CT"
"663","Malignancy, except skin neoplasms",442159,"93509007","Hodgkin's disease, mixed cellularity of spleen","SNOMED CT"
"664","Malignancy, except skin neoplasms",442168,"94714002","Mycosis fungoides of spleen","SNOMED CT"
"665","Malignancy, except skin neoplasms",442169,"94708009","Mycosis fungoides of intrapelvic lymph nodes","SNOMED CT"
"666","Peptic ulcer disease",442314,"58711008","Acute gastrojejunal ulcer with hemorrhage, with perforation and with obstruction","SNOMED CT"
"667","Hemiplegia or paraplegia",442543,"56409008","Monoplegic cerebral palsy","SNOMED CT"
"668","Peripheral vascular disease",442774,"63491006","Intermittent claudication","SNOMED CT"
"669","Diabetes, with chronic complications",442793,"74627003","Complication due to diabetes mellitus","SNOMED CT"
"670","Cerebrovascular disease",443239,"266253001","Precerebral arterial occlusion","SNOMED CT"
"671","Metastatic solid tumor",443252,"254289008","Post-transplant neoplasia","SNOMED CT"
"672","Metastatic solid tumor",443392,"363346000","Malignant neoplastic disease","SNOMED CT"
"673","Malignancy, except skin neoplasms",443397,"363509000","Malignant tumor of small intestine","SNOMED CT"
"674","Cerebrovascular disease",443454,"432504007","Cerebral infarction","SNOMED CT"
"675","Cerebrovascular disease",443465,"426033005","Dysphagia as a late effect of cerebrovascular accident","SNOMED CT"
"676","Cerebrovascular disease",443525,"427065003","Monoplegia of dominant upper limb as a late effect of cerebrovascular accident","SNOMED CT"
"677","Cerebrovascular disease",443551,"428668000","Apraxia due to cerebrovascular accident","SNOMED CT"
"678","Congestive heart failure",443580,"417996009","Systolic heart failure","SNOMED CT"
"679","Congestive heart failure",443587,"418304008","Diastolic heart failure","SNOMED CT"
"680","Diabetes, without chronic complications",443592,"428896009","Hyperosmolality due to uncontrolled type 1 diabetes mellitus","SNOMED CT"
"681","Renal disease",443597,"433144002","Chronic kidney disease stage 3","SNOMED CT"
"682","Cerebrovascular disease",443599,"430947007","Paralytic syndrome of nondominant side as late effect of stroke","SNOMED CT"
"683","Renal disease",443601,"431856006","Chronic kidney disease stage 2","SNOMED CT"
"684","Dementia",443605,"429998004","Vascular dementia","SNOMED CT"
"685","Cerebrovascular disease",443609,"430959006","Paralytic syndrome of dominant side as late effect of stroke","SNOMED CT"
"686","Renal disease",443611,"433146000","Chronic kidney disease stage 5","SNOMED CT"
"687","Renal disease",443612,"431857002","Chronic kidney disease stage 4","SNOMED CT"
"688","Renal disease",443614,"431855005","Chronic kidney disease stage 1","SNOMED CT"
"689","Peripheral vascular disease",443622,"433068007","Aneurysm of thoracic aorta","SNOMED CT"
"690","Malignancy, except skin neoplasms",443719,"415287001","Relapsing chronic myeloid leukemia","SNOMED CT"
"691","Diabetes, without chronic complications",443727,"420422005","Diabetic ketoacidosis","SNOMED CT"
"692","Diabetes, with chronic complications",443729,"422166005","Peripheral circulatory disorder due to type 2 diabetes mellitus","SNOMED CT"
"693","Diabetes, with chronic complications",443730,"422088007","Disorder of nervous system due to diabetes mellitus","SNOMED CT"
"694","Diabetes, with chronic complications",443731,"420279001","Renal disorder due to type 2 diabetes mellitus","SNOMED CT"
"695","Diabetes, with chronic complications",443732,"422014003","Disorder due to type 2 diabetes mellitus","SNOMED CT"
"696","Diabetes, with chronic complications",443733,"422099009","Disorder of eye due to type 2 diabetes mellitus","SNOMED CT"
"697","Diabetes, without chronic complications",443735,"420662003","Coma due to diabetes mellitus","SNOMED CT"
"698","Malignancy, except skin neoplasms",443743,"415111003","Plasma cell neoplasm","SNOMED CT"
"699","Diabetes, with chronic complications",443767,"25093002","Disorder of eye due to diabetes mellitus","SNOMED CT"
"700","Peptic ulcer disease",443770,"28082003","Chronic duodenal ulcer without hemorrhage AND without perforation but with obstruction","SNOMED CT"
"701","Peptic ulcer disease",443779,"24001002","Chronic gastrojejunal ulcer with hemorrhage, with perforation and with obstruction","SNOMED CT"
"702","Dementia",443790,"25772007","Multi-infarct dementia with delusions","SNOMED CT"
"703","Dementia",443864,"14070001","Multi-infarct dementia with depression","SNOMED CT"
"704","Chronic pulmonary disease",443890,"13394002","Suberosis","SNOMED CT"
"705","Cerebrovascular disease",443916,"32895009","Hereditary disease","SNOMED CT"
"706","Renal disease",443919,"49220004","Hypertensive renal failure","SNOMED CT"
"707","Congestive heart failure",444031,"48447003","Chronic heart failure","SNOMED CT"
"708","Chronic pulmonary disease",444084,"37471005","Hypersensitivity pneumonitis","SNOMED CT"
"709","Dementia",444091,"10349009","Multi-infarct dementia with delirium","SNOMED CT"
"710","Congestive heart failure",444101,"46113002","Hypertensive heart failure","SNOMED CT"
"711","Peptic ulcer disease",444102,"10897002","Chronic gastrojejunal ulcer with perforation AND with obstruction","SNOMED CT"
"712","Malignancy, except skin neoplasms",444203,"128466006","Primary malignant neoplasm of articular cartilage","SNOMED CT"
"713","Malignancy, except skin neoplasms",444224,"109833003","Overlapping malignant neoplasm of lip, oral cavity and pharynx","SNOMED CT"
"714","Myocardial infarction",444406,"70422006","Acute subendocardial infarction","SNOMED CT"
"715","Cerebrovascular disease",759831,"106241000119108","Bilateral paralytic syndrome as late effect of stroke","SNOMED CT"
"716","Malignancy, except skin neoplasms",760932,"122881000119107","Chronic monocytic leukemia in relapse","SNOMED CT"
"717","Malignancy, except skin neoplasms",760933,"122901000119109","Myeloid leukemia in relapse","SNOMED CT"
"718","Malignancy, except skin neoplasms",760934,"122951000119108","Lymphoid leukemia in relapse","SNOMED CT"
"719","Malignancy, except skin neoplasms",760936,"122981000119101","Plasma cell leukemia in relapse","SNOMED CT"
"720","Mild liver disease",763021,"435101000124104","Chronic viral hepatitis C with hepatic coma","SNOMED CT"
"721","Chronic pulmonary disease",3655113,"846635004","Chronic respiratory condition caused by vapor","SNOMED CT"
"722","Malignancy, except skin neoplasms",4001170,"109831001","Overlapping malignant neoplasm of palate","SNOMED CT"
"723","Malignancy, except skin neoplasms",4001171,"109841003","Liver cell carcinoma","SNOMED CT"
"724","Malignancy, except skin neoplasms",4001172,"109843000","Hepatoblastoma","SNOMED CT"
"725","Malignancy, except skin neoplasms",4001329,"109971005","Follicular non-Hodgkin's lymphoma, mixed small cleaved cell and large cell (clinical)","SNOMED CT"
"726","Malignancy, except skin neoplasms",4001664,"109842005","Intrahepatic bile duct carcinoma","SNOMED CT"
"727","Malignancy, except skin neoplasms",4001666,"109853004","Mesothelioma of peritoneum","SNOMED CT"
"728","Malignancy, except skin neoplasms",4002340,"109915008","Primary malignant neoplasm of meninges","SNOMED CT"
"729","Malignancy, except skin neoplasms",4002343,"109919002","Overlapping malignant neoplasm of peripheral nerves and autonomic nervous system","SNOMED CT"
"730","Malignancy, except skin neoplasms",4002356,"109968002","Diffuse non-Hodgkin's lymphoma, small cell (clinical)","SNOMED CT"
"731","Malignancy, except skin neoplasms",4002357,"109970006","Follicular non-Hodgkin's lymphoma, small cleaved cell (clinical)","SNOMED CT"
"732","Malignancy, except skin neoplasms",4002358,"109976000","Lymphoepithelioid lymphoma (clinical)","SNOMED CT"
"733","Malignancy, except skin neoplasms",4002494,"109988003","Histiocytic sarcoma (clinical)","SNOMED CT"
"734","Malignancy, except skin neoplasms",4002496,"110002002","Mast cell leukemia (clinical)","SNOMED CT"
"735","Malignancy, except skin neoplasms",4002497,"110004001","Acute promyelocytic leukemia, FAB M3","SNOMED CT"
"736","Malignancy, except skin neoplasms",4002498,"110013004","Overlapping malignant neoplasm of tonsil","SNOMED CT"
"737","Malignancy, except skin neoplasms",4003021,"109844006","Angiosarcoma of liver","SNOMED CT"
"738","Malignancy, except skin neoplasms",4003028,"109876001","Primary malignant neoplasm of descended testis","SNOMED CT"
"739","Malignancy, except skin neoplasms",4003029,"109885001","Overlapping malignant neoplasm of vulva","SNOMED CT"
"740","Malignancy, except skin neoplasms",4003175,"109931000","Primary malignant neoplasm of peripheral nerves of upper limb","SNOMED CT"
"741","Malignancy, except skin neoplasms",4003179,"109947003","Primary malignant neoplasm of peripheral nerves of trunk","SNOMED CT"
"742","Malignancy, except skin neoplasms",4003182,"109975001","T-zone lymphoma (clinical)","SNOMED CT"
"743","Malignancy, except skin neoplasms",4003184,"109991003","Acute panmyelosis with myelofibrosis","SNOMED CT"
"744","Malignancy, except skin neoplasms",4003188,"110007008","Adult T-cell leukemia/lymphoma","SNOMED CT"
"745","Malignancy, except skin neoplasms",4003674,"109834009","Primary malignant neoplasm of branchial cleft","SNOMED CT"
"746","Malignancy, except skin neoplasms",4003675,"109840002","Primary malignant neoplasm of cloacogenic zone","SNOMED CT"
"747","Malignancy, except skin neoplasms",4003693,"109912006","Overlapping malignant neoplasm of brain","SNOMED CT"
"748","Malignancy, except skin neoplasms",4003694,"109921007","Primary malignant neoplasm of peripheral nerve of head, face and/or neck","SNOMED CT"
"749","Malignancy, except skin neoplasms",4003830,"109962001","Diffuse non-Hodgkin's lymphoma","SNOMED CT"
"750","Malignancy, except skin neoplasms",4003831,"109964000","Diffuse non-Hodgkin's lymphoma, undifferentiated","SNOMED CT"
"751","Malignancy, except skin neoplasms",4003832,"109966003","Diffuse non-Hodgkin's lymphoma, immunoblastic (clinical)","SNOMED CT"
"752","Malignancy, except skin neoplasms",4003833,"109972003","Follicular non-Hodgkin's lymphoma, large cell (clinical)","SNOMED CT"
"753","Malignancy, except skin neoplasms",4003834,"109980005","Malignant immunoproliferative disease (clinical)","SNOMED CT"
"754","Malignancy, except skin neoplasms",4003835,"109982002","Alpha heavy chain disease (clinical)","SNOMED CT"
"755","Malignancy, except skin neoplasms",4003836,"109985000","Immunoproliferative small intestinal disease (clinical)","SNOMED CT"
"756","Congestive heart failure",4004279,"10091002","High output heart failure","SNOMED CT"
"757","Rheumatic disease",4005037,"1212005","Childhood type dermatomyositis","SNOMED CT"
"758","Cerebrovascular disease",4006294,"111296006","Basilar artery embolism","SNOMED CT"
"759","Peptic ulcer disease",4006994,"111353003","Acute peptic ulcer with hemorrhage and perforation","SNOMED CT"
"760","Diabetes, without chronic complications",4008576,"111552007","Diabetes mellitus without complication","SNOMED CT"
"761","Mild liver disease",4012113,"10295004","Chronic viral hepatitis","SNOMED CT"
"762","Congestive heart failure",4014159,"10335000","Chronic right-sided heart failure","SNOMED CT"
"763","Mild liver disease",4026125,"197284004","Chronic active hepatitis","SNOMED CT"
"764","Cerebrovascular disease",4027461,"22811006","Leukoencephalopathy","SNOMED CT"
"765","Peptic ulcer disease",4027663,"13200003","Peptic ulcer","SNOMED CT"
"766","Chronic pulmonary disease",4027669,"13151001","Flax-dressers' disease","SNOMED CT"
"767","Peptic ulcer disease",4027729,"12847006","Acute duodenal ulcer with hemorrhage","SNOMED CT"
"768","Moderate or severe liver disease",4029488,"13920009","Hepatic encephalopathy","SNOMED CT"
"769","Peptic ulcer disease",4031954,"23812009","Duodenal ulcer with hemorrhage AND perforation","SNOMED CT"
"770","Chronic pulmonary disease",4032314,"14700006","Bauxite fibrosis of lung","SNOMED CT"
"771","Malignancy, except skin neoplasms",4032866,"109347009","Overlapping malignant neoplasm of bone and articular cartilage","SNOMED CT"
"772","Malignancy, except skin neoplasms",4032870,"109383000","Malignant mesothelioma of pericardium","SNOMED CT"
"773","Malignancy, except skin neoplasms",4033318,"109348004","Overlapping malignant neoplasm of bone and articular cartilage of limb","SNOMED CT"
"774","Malignancy, except skin neoplasms",4033891,"109378008","Mesothelioma (malignant, clinical disorder)","SNOMED CT"
"775","Malignancy, except skin neoplasms",4033893,"109392002","Kaposi's sarcoma of multiple organs","SNOMED CT"
"776","Rheumatic disease",4035611,"239791005","Seropositive rheumatoid arthritis","SNOMED CT"
"777","Malignancy, except skin neoplasms",4038835,"118599009","Hodgkin's disease (clinical)","SNOMED CT"
"778","Malignancy, except skin neoplasms",4038838,"118601006","Non-Hodgkin's lymphoma (clinical)","SNOMED CT"
"779","Malignancy, except skin neoplasms",4038839,"118605002","Hodgkin lymphoma, nodular lymphocyte predominance (clinical)","SNOMED CT"
"780","Malignancy, except skin neoplasms",4038840,"118606001","Hodgkin's sarcoma (clinical)","SNOMED CT"
"781","Malignancy, except skin neoplasms",4038841,"118607005","Lymphocyte-rich classical Hodgkin lymphoma","SNOMED CT"
"782","Malignancy, except skin neoplasms",4038842,"118608000","Hodgkin's disease, nodular sclerosis (clinical)","SNOMED CT"
"783","Malignancy, except skin neoplasms",4038843,"118609008","Hodgkin's disease, mixed cellularity (clinical)","SNOMED CT"
"784","Malignancy, except skin neoplasms",4038845,"118613001","Hairy cell leukemia (clinical)","SNOMED CT"
"785","Malignancy, except skin neoplasms",4038846,"118614007","Langerhans cell histiocytosis, disseminated","SNOMED CT"
"786","Malignancy, except skin neoplasms",4040379,"118615008","Malignant mast cell tumor (clinical)","SNOMED CT"
"787","Malignancy, except skin neoplasms",4040380,"118618005","Mycosis fungoides (clinical)","SNOMED CT"
"788","Malignancy, except skin neoplasms",4041104,"118612006","Malignant histiocytosis (clinical)","SNOMED CT"
"789","Malignancy, except skin neoplasms",4041797,"118602004","Hodgkin's granuloma (clinical)","SNOMED CT"
"790","Malignancy, except skin neoplasms",4041798,"118610003","Hodgkin's disease, lymphocytic depletion (clinical)","SNOMED CT"
"791","Malignancy, except skin neoplasms",4041799,"118611004","Sezary's disease","SNOMED CT"
"792","Malignancy, except skin neoplasms",4041800,"118617000","Burkitt's lymphoma (clinical)","SNOMED CT"
"793","Cerebrovascular disease",4043731,"230692004","Infarction - precerebral","SNOMED CT"
"794","Diabetes, with chronic complications",4044391,"230572002","Neuropathy due to diabetes mellitus","SNOMED CT"
"795","Malignancy, except skin neoplasms",4044708,"129000002","Eosinophilic granuloma","SNOMED CT"
"796","Cerebrovascular disease",4045737,"230699008","Pure motor lacunar infarction","SNOMED CT"
"797","Cerebrovascular disease",4045738,"230700009","Pure sensory lacunar infarction","SNOMED CT"
"798","Cerebrovascular disease",4045749,"230724001","Cerebral amyloid angiopathy","SNOMED CT"
"799","Dementia",4046089,"230285003","Vascular dementia of acute onset","SNOMED CT"
"800","Dementia",4046090,"230287006","Mixed cortical and subcortical vascular dementia","SNOMED CT"
"801","Mild liver disease",4046123,"12368000","Secondary biliary cirrhosis","SNOMED CT"
"802","Cerebrovascular disease",4046360,"230698000","Lacunar infarction","SNOMED CT"
"803","Peptic ulcer disease",4046500,"12274003","Acute peptic ulcer with hemorrhage","SNOMED CT"
"804","Dementia",4047747,"230286002","Subcortical vascular dementia","SNOMED CT"
"805","Diabetes, with chronic complications",4048028,"230577008","Diabetic mononeuropathy","SNOMED CT"
